name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8.094088000000001,87,43.642070000000004,-79.40984,0,200,10,93,129.0,0.93,1,175
6.7958729999999985,34,43.657,-79.44806,2,73,2,18,156.0,0.19,3,361
9.218852,122,43.64222,-79.37987,0,84,28,58,216.0,0.58,1,234
29.489624,82,43.70926,-79.37706999999997,3,51,1,91,253.0,0.92,2,39
7.481575500000001,34,43.65674,-79.44785999999998,2,90,2,24,249.0,0.25,3,365
50.280094,14,43.677279999999996,-79.33585,2,52,3,36,135.0,0.38,1,182
7.096403,34,43.657,-79.44784,2,84,2,23,592.0,0.25,3,0
30.728197,49,43.66205,-79.4561,0,260,5,0,,,1,0
-24.526405,122,43.64754,-79.37527,0,110,186,78,283.0,1.32,1,311
-42.899143,83,43.6983,-79.39305,3,39,1,85,97.0,0.85,2,180
25.407047,110,43.667120000000004,-79.33678,0,179,3,137,226.0,1.37,1,79
34.728756,94,43.66195,-79.41141,0,96,7,26,78.0,0.27,2,217
-13.219068,109,43.6354,-79.43854,0,115,28,59,193.0,0.63,5,342
-22.365639,109,43.637370000000004,-79.43939,0,500,30,0,,,5,341
-33.57175,129,43.778729999999996,-79.41245,2,141,7,0,,,1,365
-0.59096324,116,43.67113,-79.29839,0,229,1,2,314.0,0.06,2,148
-8.387795,122,43.643409999999996,-79.40046,0,190,3,9,997.0,0.13,1,363
3.7741635,104,43.67423,-79.37028000000002,0,649,7,1,2499.0,0.01,2,0
13.025636,28,43.6798,-79.34218,0,135,1,32,285.0,0.45,1,365
7.9986606,122,43.64503,-79.38335,0,188,1,15,92.0,0.16,1,89
-5.0832042999999985,62,43.65432,-79.39846999999997,0,112,7,217,119.0,2.2,2,180
-37.193035,89,43.671440000000004,-79.37685,2,65,7,0,,,1,0
-28.72201,32,43.66633,-79.42851,0,60,3,18,1096.0,0.19,1,192
2.1996999,100,43.65765,-79.36281,2,65,1,816,82.0,8.26,1,284
-32.855213,94,43.66137,-79.41074,0,70,10,2,1435.0,0.03,3,304
8.614954,103,43.64283,-79.44686,0,350,3,28,251.0,0.34,1,179
1.0605011999999998,104,43.67149000000001,-79.38611,2,80,1,3,644.0,0.04,11,302
42.842625,42,43.72029000000001,-79.33473000000002,2,39,2,32,130.0,0.39,4,312
22.36794,6,43.6642,-79.38465,0,198,2,68,362.0,0.71,2,337
-19.516441,129,43.76248,-79.40904,0,155,3,4,216.0,0.37,4,88
-21.010574,122,43.64275,-79.39161,0,174,3,1,278.0,0.12,4,178
-19.717146,129,43.76095,-79.40969,0,225,3,5,268.0,0.48,4,89
-14.855187,122,43.64456,-79.39449,0,174,3,2,1060.0,0.06,4,353
23.780455,3,43.66859,-79.41411,2,100,3,28,307.0,0.29,1,364
-27.982738,34,43.65395,-79.43132,0,65,7,3,2524.0,0.03,1,0
6.4623804000000025,35,43.68499,-79.29131,0,69,3,39,68.0,0.41,10,307
-34.26606,79,43.6617,-79.37496,0,195,14,222,57.0,2.54,2,344
-31.699774,62,43.65573,-79.40168,0,150,7,112,708.0,1.16,1,364
5.4747095,62,43.656459999999996,-79.4031,2,200,2,1,2258.0,0.01,1,0
-0.7040006999999999,109,43.63927,-79.43033,0,200,1,254,130.0,3.63,5,189
-36.459038,23,43.66114,-79.38157,2,90,2,354,80.0,3.65,3,240
-0.92886746,56,43.68698,-79.42234,0,141,30,9,1678.0,0.1,2,0
-11.232593,133,43.677409999999995,-79.31079,2,30,30,18,68.0,0.25,3,181
-16.753073,23,43.65475,-79.37934,0,240,5,7,707.0,0.08,4,304
23.115435,23,43.66883,-79.38365,0,211,360,0,,,1,365
-34.93312,18,43.7063,-79.48768000000003,2,55,1,33,235.0,0.35,1,365
-15.087181,122,43.64428,-79.40268,0,188,3,65,95.0,0.79,1,179
-3.03681,122,43.64353,-79.40154,0,164,30,58,91.0,0.62,3,68
-2.217764,92,43.6879,-79.43938,0,108,60,99,120.0,1.04,1,37
